#变量导出文件（汇川）
#2025-10-24 12:52:17
#AutoShop:EasyMonitor{9C0001D5-7318-4ba2-A115-BB39F85EBE64}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"气缸[6].I_电磁阀使能",,"Bool","1","1","UB 0409380","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[6].I_手动模式",,"Bool","1","1","UB 0409381","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[6].I_控制输入",,"Bool","1","1","UB 0409382","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[6].HMI_控制输入",,"Bool","1","1","UB 0409383","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[6].I_原点感应",,"Bool","1","1","UB 0409384","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[6].I_动点感应",,"Bool","1","1","UB 0409385","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[6].I_原点屏蔽",,"Bool","1","1","UB 0409386","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[6].I_动点屏蔽",,"Bool","1","1","UB 0409387","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[6].I_清除告警",,"Bool","1","1","UB 0409388","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[6].O_动作成功",,"Bool","1","1","UB 0409389","100ms","1",,,,"动作成功输出",1
"气缸[6].O_回位成功",,"Bool","1","1","UB 040938A","100ms","1",,,,"回位成功输出",1
"气缸[6].O_有告警",,"Bool","1","1","UB 040938B","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[6].O_传感器异常告警",,"Bool","1","1","UB 040938C","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[6].O_动点不在位告警",,"Bool","1","1","UB 040938D","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[6].O_原点不在位告警",,"Bool","1","1","UB 040938E","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[6].O_线圈输出1",,"Bool","1","1","UB 040938F","100ms","1",,,,"线圈输出1",1
"气缸[6].O_线圈输出2",,"Bool","1","1","UB 0409390","100ms","1",,,,"线圈输出2",1
"气缸[6].I_中封设置",,"Bool","1","1","UB 0409391","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[6].I_回位时间MS",,"Int32","4","1","UW 04093A0","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[6].I_动作时间MS",,"Int32","4","1","UW 04093C0","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[6].I_到位延时MS",,"Int32","4","1","UW 04093E0","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[6].I_告警超时MS",,"Int32","4","1","UW 0409400","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"气缸[7].I_电磁阀使能",,"Bool","1","1","UB 0409420","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[7].I_手动模式",,"Bool","1","1","UB 0409421","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[7].I_控制输入",,"Bool","1","1","UB 0409422","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[7].HMI_控制输入",,"Bool","1","1","UB 0409423","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[7].I_原点感应",,"Bool","1","1","UB 0409424","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[7].I_动点感应",,"Bool","1","1","UB 0409425","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[7].I_原点屏蔽",,"Bool","1","1","UB 0409426","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[7].I_动点屏蔽",,"Bool","1","1","UB 0409427","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[7].I_清除告警",,"Bool","1","1","UB 0409428","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[7].O_动作成功",,"Bool","1","1","UB 0409429","100ms","1",,,,"动作成功输出",1
"气缸[7].O_回位成功",,"Bool","1","1","UB 040942A","100ms","1",,,,"回位成功输出",1
"气缸[7].O_有告警",,"Bool","1","1","UB 040942B","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[7].O_传感器异常告警",,"Bool","1","1","UB 040942C","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[7].O_动点不在位告警",,"Bool","1","1","UB 040942D","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[7].O_原点不在位告警",,"Bool","1","1","UB 040942E","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[7].O_线圈输出1",,"Bool","1","1","UB 040942F","100ms","1",,,,"线圈输出1",1
"气缸[7].O_线圈输出2",,"Bool","1","1","UB 0409430","100ms","1",,,,"线圈输出2",1
"气缸[7].I_中封设置",,"Bool","1","1","UB 0409431","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[7].I_回位时间MS",,"Int32","4","1","UW 0409440","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[7].I_动作时间MS",,"Int32","4","1","UW 0409460","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[7].I_到位延时MS",,"Int32","4","1","UW 0409480","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[7].I_告警超时MS",,"Int32","4","1","UW 04094A0","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"气缸[8].I_电磁阀使能",,"Bool","1","1","UB 04094C0","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[8].I_手动模式",,"Bool","1","1","UB 04094C1","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[8].I_控制输入",,"Bool","1","1","UB 04094C2","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[8].HMI_控制输入",,"Bool","1","1","UB 04094C3","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[8].I_原点感应",,"Bool","1","1","UB 04094C4","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[8].I_动点感应",,"Bool","1","1","UB 04094C5","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[8].I_原点屏蔽",,"Bool","1","1","UB 04094C6","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[8].I_动点屏蔽",,"Bool","1","1","UB 04094C7","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[8].I_清除告警",,"Bool","1","1","UB 04094C8","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[8].O_动作成功",,"Bool","1","1","UB 04094C9","100ms","1",,,,"动作成功输出",1
"气缸[8].O_回位成功",,"Bool","1","1","UB 04094CA","100ms","1",,,,"回位成功输出",1
"气缸[8].O_有告警",,"Bool","1","1","UB 04094CB","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[8].O_传感器异常告警",,"Bool","1","1","UB 04094CC","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[8].O_动点不在位告警",,"Bool","1","1","UB 04094CD","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[8].O_原点不在位告警",,"Bool","1","1","UB 04094CE","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[8].O_线圈输出1",,"Bool","1","1","UB 04094CF","100ms","1",,,,"线圈输出1",1
"气缸[8].O_线圈输出2",,"Bool","1","1","UB 04094D0","100ms","1",,,,"线圈输出2",1
"气缸[8].I_中封设置",,"Bool","1","1","UB 04094D1","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[8].I_回位时间MS",,"Int32","4","1","UW 04094E0","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[8].I_动作时间MS",,"Int32","4","1","UW 0409500","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[8].I_到位延时MS",,"Int32","4","1","UW 0409520","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[8].I_告警超时MS",,"Int32","4","1","UW 0409540","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"气缸[9].I_电磁阀使能",,"Bool","1","1","UB 0409560","100ms","1",,,,"使能后正常，不使能两个线圈都被复位",1
"气缸[9].I_手动模式",,"Bool","1","1","UB 0409561","100ms","1",,,,"手动模式才能允许触摸屏点动",1
"气缸[9].I_控制输入",,"Bool","1","1","UB 0409562","100ms","1",,,,"ON线圈1输出，OFF线圈2输出",1
"气缸[9].HMI_控制输入",,"Bool","1","1","UB 0409563","100ms","1",,,,"触摸屏控制输入，复位型按键",1
"气缸[9].I_原点感应",,"Bool","1","1","UB 0409564","100ms","1",,,,"[只读]气缸原点感应",1
"气缸[9].I_动点感应",,"Bool","1","1","UB 0409565","100ms","1",,,,"[只读]气缸动点感应",1
"气缸[9].I_原点屏蔽",,"Bool","1","1","UB 0409566","100ms","1",,,,"ON时原点感应失效，回位时间生效",1
"气缸[9].I_动点屏蔽",,"Bool","1","1","UB 0409567","100ms","1",,,,"ON时动点感应失效，动作时间有效",1
"气缸[9].I_清除告警",,"Bool","1","1","UB 0409568","100ms","1",,,,"上升沿输入，清除完后自复位",1
"气缸[9].O_动作成功",,"Bool","1","1","UB 0409569","100ms","1",,,,"动作成功输出",1
"气缸[9].O_回位成功",,"Bool","1","1","UB 040956A","100ms","1",,,,"回位成功输出",1
"气缸[9].O_有告警",,"Bool","1","1","UB 040956B","100ms","1",,,,"任何报警此信号都会输出",1
"气缸[9].O_传感器异常告警",,"Bool","1","1","UB 040956C","100ms","1",,,,"传感器同时感应或同时无感应报警",1
"气缸[9].O_动点不在位告警",,"Bool","1","1","UB 040956D","100ms","1",,,,"电磁阀输出后，动点感应在超时时间内无感应报警",1
"气缸[9].O_原点不在位告警",,"Bool","1","1","UB 040956E","100ms","1",,,,"电磁阀输出后，原点感应在超时时间内无感应报警",1
"气缸[9].O_线圈输出1",,"Bool","1","1","UB 040956F","100ms","1",,,,"线圈输出1",1
"气缸[9].O_线圈输出2",,"Bool","1","1","UB 0409570","100ms","1",,,,"线圈输出2",1
"气缸[9].I_中封设置",,"Bool","1","1","UB 0409571","100ms","1",,,,"ON则到位延时后释放，OFF则一直有输出",1
"气缸[9].I_回位时间MS",,"Int32","4","1","UW 0409580","100ms","1",,,,"气缸回到原点消耗的时间，在屏蔽传感器后生效",1
"气缸[9].I_动作时间MS",,"Int32","4","1","UW 04095A0","100ms","1",,,,"气缸动到伸出位消耗的时间，在屏蔽传感器后生效",1
"气缸[9].I_到位延时MS",,"Int32","4","1","UW 04095C0","100ms","1",,,,"气缸动作到位后延时再输出",1
"气缸[9].I_告警超时MS",,"Int32","4","1","UW 04095E0","100ms","1",,,,"气缸动或回后无感应超时报警时间",1
"轴位置[0].位置编号",,"Int16","2","1","UW 2000000","100ms","1",,,,"当前位置编号",1
"轴位置[0].位置数量",,"Int16","2","1","UW 2000010","100ms","1",,,,"总共多少个位置",1
"轴位置[0].当前轴位置",,"Float","4","1","UW 2000020","100ms","1",,,,"当前轴所在位置",1
"轴位置[0].在位判断误差",,"Float","4","1","UW 2000040","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[0].输出位置",,"Float","4","1","UW 2000060","100ms","1",,,,"输入编号输出的位置",1
"轴位置[0].获取位置",,"Bool","1","1","UB 2000080","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[0].在当前编号位置",,"Bool","1","1","UB 2000081","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[1].位置编号",,"Int16","2","1","UW 2000090","100ms","1",,,,"当前位置编号",1
"轴位置[1].位置数量",,"Int16","2","1","UW 20000A0","100ms","1",,,,"总共多少个位置",1
"轴位置[1].当前轴位置",,"Float","4","1","UW 20000B0","100ms","1",,,,"当前轴所在位置",1
"轴位置[1].在位判断误差",,"Float","4","1","UW 20000D0","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[1].输出位置",,"Float","4","1","UW 20000F0","100ms","1",,,,"输入编号输出的位置",1
"轴位置[1].获取位置",,"Bool","1","1","UB 2000110","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[1].在当前编号位置",,"Bool","1","1","UB 2000111","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[2].位置编号",,"Int16","2","1","UW 2000120","100ms","1",,,,"当前位置编号",1
"轴位置[2].位置数量",,"Int16","2","1","UW 2000130","100ms","1",,,,"总共多少个位置",1
"轴位置[2].当前轴位置",,"Float","4","1","UW 2000140","100ms","1",,,,"当前轴所在位置",1
"轴位置[2].在位判断误差",,"Float","4","1","UW 2000160","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[2].输出位置",,"Float","4","1","UW 2000180","100ms","1",,,,"输入编号输出的位置",1
"轴位置[2].获取位置",,"Bool","1","1","UB 20001A0","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[2].在当前编号位置",,"Bool","1","1","UB 20001A1","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[3].位置编号",,"Int16","2","1","UW 20001B0","100ms","1",,,,"当前位置编号",1
"轴位置[3].位置数量",,"Int16","2","1","UW 20001C0","100ms","1",,,,"总共多少个位置",1
"轴位置[3].当前轴位置",,"Float","4","1","UW 20001D0","100ms","1",,,,"当前轴所在位置",1
"轴位置[3].在位判断误差",,"Float","4","1","UW 20001F0","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[3].输出位置",,"Float","4","1","UW 2000210","100ms","1",,,,"输入编号输出的位置",1
"轴位置[3].获取位置",,"Bool","1","1","UB 2000230","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[3].在当前编号位置",,"Bool","1","1","UB 2000231","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[4].位置编号",,"Int16","2","1","UW 2000240","100ms","1",,,,"当前位置编号",1
"轴位置[4].位置数量",,"Int16","2","1","UW 2000250","100ms","1",,,,"总共多少个位置",1
"轴位置[4].当前轴位置",,"Float","4","1","UW 2000260","100ms","1",,,,"当前轴所在位置",1
"轴位置[4].在位判断误差",,"Float","4","1","UW 2000280","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[4].输出位置",,"Float","4","1","UW 20002A0","100ms","1",,,,"输入编号输出的位置",1
"轴位置[4].获取位置",,"Bool","1","1","UB 20002C0","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[4].在当前编号位置",,"Bool","1","1","UB 20002C1","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[5].位置编号",,"Int16","2","1","UW 20002D0","100ms","1",,,,"当前位置编号",1
"轴位置[5].位置数量",,"Int16","2","1","UW 20002E0","100ms","1",,,,"总共多少个位置",1
"轴位置[5].当前轴位置",,"Float","4","1","UW 20002F0","100ms","1",,,,"当前轴所在位置",1
"轴位置[5].在位判断误差",,"Float","4","1","UW 2000310","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[5].输出位置",,"Float","4","1","UW 2000330","100ms","1",,,,"输入编号输出的位置",1
"轴位置[5].获取位置",,"Bool","1","1","UB 2000350","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[5].在当前编号位置",,"Bool","1","1","UB 2000351","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[6].位置编号",,"Int16","2","1","UW 2000360","100ms","1",,,,"当前位置编号",1
"轴位置[6].位置数量",,"Int16","2","1","UW 2000370","100ms","1",,,,"总共多少个位置",1
"轴位置[6].当前轴位置",,"Float","4","1","UW 2000380","100ms","1",,,,"当前轴所在位置",1
"轴位置[6].在位判断误差",,"Float","4","1","UW 20003A0","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[6].输出位置",,"Float","4","1","UW 20003C0","100ms","1",,,,"输入编号输出的位置",1
"轴位置[6].获取位置",,"Bool","1","1","UB 20003E0","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[6].在当前编号位置",,"Bool","1","1","UB 20003E1","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[7].位置编号",,"Int16","2","1","UW 20003F0","100ms","1",,,,"当前位置编号",1
"轴位置[7].位置数量",,"Int16","2","1","UW 2000400","100ms","1",,,,"总共多少个位置",1
"轴位置[7].当前轴位置",,"Float","4","1","UW 2000410","100ms","1",,,,"当前轴所在位置",1
"轴位置[7].在位判断误差",,"Float","4","1","UW 2000430","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[7].输出位置",,"Float","4","1","UW 2000450","100ms","1",,,,"输入编号输出的位置",1
"轴位置[7].获取位置",,"Bool","1","1","UB 2000470","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[7].在当前编号位置",,"Bool","1","1","UB 2000471","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[8].位置编号",,"Int16","2","1","UW 2000480","100ms","1",,,,"当前位置编号",1
"轴位置[8].位置数量",,"Int16","2","1","UW 2000490","100ms","1",,,,"总共多少个位置",1
"轴位置[8].当前轴位置",,"Float","4","1","UW 20004A0","100ms","1",,,,"当前轴所在位置",1
"轴位置[8].在位判断误差",,"Float","4","1","UW 20004C0","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[8].输出位置",,"Float","4","1","UW 20004E0","100ms","1",,,,"输入编号输出的位置",1
"轴位置[8].获取位置",,"Bool","1","1","UB 2000500","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[8].在当前编号位置",,"Bool","1","1","UB 2000501","100ms","1",,,,"轴当前位置在当前的编号位",1
"轴位置[9].位置编号",,"Int16","2","1","UW 2000510","100ms","1",,,,"当前位置编号",1
"轴位置[9].位置数量",,"Int16","2","1","UW 2000520","100ms","1",,,,"总共多少个位置",1
"轴位置[9].当前轴位置",,"Float","4","1","UW 2000530","100ms","1",,,,"当前轴所在位置",1
"轴位置[9].在位判断误差",,"Float","4","1","UW 2000550","100ms","1",,,,"允许在位判断的误差值正负",1
"轴位置[9].输出位置",,"Float","4","1","UW 2000570","100ms","1",,,,"输入编号输出的位置",1
"轴位置[9].获取位置",,"Bool","1","1","UB 2000590","100ms","1",,,,"获取当前轴位置到编号位置里",1
"轴位置[9].在当前编号位置",,"Bool","1","1","UB 2000591","100ms","1",,,,"轴当前位置在当前的编号位",1
"hmi_清报警",,"Bool","1","1","UB 2104AE0","100ms","1",,,,"",1
"清报警",,"Bool","1","1","UB 2104AE1","100ms","1",,,,"",1
"qbjok",,"Bool","1","1","UB 2104AE2","100ms","1",,,,"",1
"anum",,"Int16","2","1","UW 2104AF0","100ms","1",,,,"",1
"AxisEnabled",,"Bool","1","1","UB 2104AE3","100ms","1",,,,"轴使能启动",1
"开机延时",,"Bool","1","1","UB 2104AE4","100ms","1",,,,"",1
"开机延时时间",,"Int32","4","1","UW 2104B00","100ms","1",,,,"",1
"enable_count",,"Int16","2","1","UW 2104B20","100ms","1",,,,"",1
"伺服总数",,"Int16","2","1","UW 21052B0","100ms","1",,,,"从0开始，要减1",1
"气缸总数",,"Int16","2","1","UW 21052C0","100ms","1",,,,"从0开始，要减一",1
"伺服上使能失败告警",,"Bool","1","1","UB 2104AE5","100ms","1",,,,"",1
"Axisnum",,"Int16","2","1","UW 21052D0","100ms","1",,,,"",1
"手动模式",,"Bool","1","1","UB 2104AE6","100ms","1",,,,"",1
"Cnum",,"Int16","2","1","UW 2100000","100ms","1",,,,"",1
"启动按钮",,"Bool","1","1","UB 2100010","100ms","1",,,,"",1
"运行中",,"Bool","1","1","UB 2100011","100ms","1",,,,"",1
"总自动步",,"Int16","2","1","UW 2100020","100ms","1",,,,"",1
"停止按钮",,"Bool","1","1","UB 2100012","100ms","1",,,,"",1
"总报警",,"Bool","1","1","UB 2100013","100ms","1",,,,"",1
"ys1",,"Bool","1","1","UB 2100014","100ms","1",,,,"",1
"去位置数值",,"Int16","2","1","UW 2100030","100ms","1",,,,"",1
"设定总行数",,"Int16","2","1","UW 2100040","100ms","1",,,,"",1
"设定总列数",,"Int16","2","1","UW 2100050","100ms","1",,,,"",1
"x起点",,"Float","4","1","UW 2100060","100ms","1",,,,"",1
"y起点",,"Float","4","1","UW 2100080","100ms","1",,,,"",1
"设定列距",,"Float","4","1","UW 2100420","100ms","1",,,,"",1
"设定行距",,"Float","4","1","UW 2100440","100ms","1",,,,"",1
"ys2",,"Bool","1","1","UB 2100015","100ms","1",,,,"",1
"轴有告警",,"Bool","1","1","UB 2100016","100ms","1",,,,"",1
"气缸有告警",,"Bool","1","1","UB 2100017","100ms","1",,,,"",1
"轴0去位置1",,"Bool","1","1","UB 2100018","100ms","1",,,,"",1
"ysa1",,"Bool","1","1","UB 2100019","100ms","1",,,,"",1
"轴0获取位置1",,"Bool","1","1","UB 210001A","100ms","1",,,,"",1
"轴0获取位置2",,"Bool","1","1","UB 210001B","100ms","1",,,,"",1
"轴0获取位置3",,"Bool","1","1","UB 210001C","100ms","1",,,,"",1
"轴0去位置2",,"Bool","1","1","UB 210001D","100ms","1",,,,"",1
"ysa2",,"Bool","1","1","UB 210001E","100ms","1",,,,"",1
"轴0去位置3",,"Bool","1","1","UB 210001F","100ms","1",,,,"",1
"ysa3",,"Bool","1","1","UB 2100460","100ms","1",,,,"",1
"刹车",,"Bool","1","1","UB 2100461","100ms","1",,,,"",1
